run_date,run_id,raw_entity,canonical_entity,entity_type,alias_matched,confidence_score,source_file,occurrence_count,notes
2026-05-19,20260519-021700-3e3a74df,Arizona,Arizona,Market / Region,,40,regional_intelligence.csv,1,weak match / needs review
2026-05-19,20260519-021700-3e3a74df,BTR / Build-to-Rent - Other / Unknown - Build-to-rent sale mandate cut from House’s ROAD to Housing bill,BTR / Build-to-Rent - Other / Unknown - Build-to-rent sale mandate cut from House’s ROAD to Housing bill,Project / Deal,,40,relationship_graph.csv,2,weak match / needs review
2026-05-19,20260519-021700-3e3a74df,"BTR / Build-to-Rent - Other / Unknown - Cushman & Wakefield Brokers $26.4M Sale of Build-to-Rent Community in Matteson, Illinois","BTR / Build-to-Rent - Other / Unknown - Cushman & Wakefield Brokers $26.4M Sale of Build-to-Rent Community in Matteson, Illinois",Project / Deal,,40,relationship_graph.csv,1,weak match / needs review
2026-05-19,20260519-021700-3e3a74df,berkadia,Berkadia,Lender / Debt Provider,Berkadia,75,deal_pipeline.csv,2,case or punctuation normalized match
2026-05-19,20260519-021700-3e3a74df,berkadia,Berkadia,Lender / Debt Provider,Berkadia,75,relationship_graph.csv,2,case or punctuation normalized match
2026-05-19,20260519-021700-3e3a74df,Blackstone,Blackstone,Developer / GP,Blackstone,100,deal_pipeline.csv,2,exact canonical match
2026-05-19,20260519-021700-3e3a74df,Blackstone,Blackstone,Developer / GP,Blackstone,100,gp_intelligence.csv,1,exact canonical match
2026-05-19,20260519-021700-3e3a74df,Blackstone,Blackstone,Developer / GP,Blackstone,100,institutional_relationships.csv,1,exact canonical match
2026-05-19,20260519-021700-3e3a74df,Blackstone,Blackstone,Developer / GP,Blackstone,100,relationship_graph.csv,6,exact canonical match
2026-05-19,20260519-021700-3e3a74df,blackstone,Blackstone,Institutional Capital,Blackstone,75,deal_pipeline.csv,2,case or punctuation normalized match
2026-05-19,20260519-021700-3e3a74df,blackstone,Blackstone,Institutional Capital,Blackstone,75,relationship_graph.csv,2,case or punctuation normalized match
2026-05-19,20260519-021700-3e3a74df,General Project Signal - New York - Ares Acquires Stake in Rover Pipeline from Blackstone Energy Transition Partners to Serve...,Blackstone,Project / Deal,Blackstone,60,relationship_graph.csv,1,partial match
2026-05-19,20260519-021700-3e3a74df,JV / Partnership - New York - Blackstone Announces Joint Venture with Google to Create New TPU Cloud,Blackstone,Project / Deal,Blackstone,60,relationship_graph.csv,1,partial match
2026-05-19,20260519-021700-3e3a74df,cbre,CBRE,Lender / Debt Provider,CBRE,75,deal_pipeline.csv,2,case or punctuation normalized match
2026-05-19,20260519-021700-3e3a74df,cbre,CBRE,Lender / Debt Provider,CBRE,75,relationship_graph.csv,2,case or punctuation normalized match
2026-05-19,20260519-021700-3e3a74df,California,California,Market / Region,California,100,articles.csv,11,exact canonical match
2026-05-19,20260519-021700-3e3a74df,California,California,Market / Region,California,100,deal_pipeline.csv,17,exact canonical match
2026-05-19,20260519-021700-3e3a74df,California,California,Market / Region,California,100,regional_intelligence.csv,1,exact canonical match
2026-05-19,20260519-021700-3e3a74df,California,California,Market / Region,California,100,relationship_graph.csv,10,exact canonical match
2026-05-19,20260519-021700-3e3a74df,San Diego,California,Market / Region,San Diego,75,deal_pipeline.csv,1,case or punctuation normalized match
2026-05-19,20260519-021700-3e3a74df,San Diego,California,Market / Region,San Diego,75,relationship_graph.csv,1,case or punctuation normalized match
2026-05-19,20260519-021700-3e3a74df,Southern California,California,Market / Region,Southern California,75,deal_pipeline.csv,1,case or punctuation normalized match
2026-05-19,20260519-021700-3e3a74df,Southern California,California,Market / Region,Southern California,75,relationship_graph.csv,1,case or punctuation normalized match
2026-05-19,20260519-021700-3e3a74df,"Entitlement / Permitting - California - Demolition Permits Filed For 772 Pacific Avenue in Chinatown, San Francisco",California,Project / Deal,California,60,relationship_graph.csv,2,partial match
2026-05-19,20260519-021700-3e3a74df,General Project Signal - California - Anaheim Industrial Outdoor Storage Site Secures Bridge Loan,California,Project / Deal,California,60,relationship_graph.csv,2,partial match
2026-05-19,20260519-021700-3e3a74df,Office-to-Residential Conversion - California - San Jose’s Bank of Italy Building Set for Residential Conversion,California,Project / Deal,California,60,relationship_graph.csv,2,partial match
2026-05-19,20260519-021700-3e3a74df,Office-to-Residential Conversion - California - Silicon Valley Initiative Partnership Receives $74.1M in Financing for Office-to-Residenti...,California,Project / Deal,California,60,relationship_graph.csv,2,partial match
2026-05-19,20260519-021700-3e3a74df,Camden Property Trust,Camden Property Trust,Developer / GP,,40,deal_pipeline.csv,1,weak match / needs review
2026-05-19,20260519-021700-3e3a74df,Camden Property Trust,Camden Property Trust,Developer / GP,,40,gp_intelligence.csv,1,weak match / needs review
2026-05-19,20260519-021700-3e3a74df,Camden Property Trust,Camden Property Trust,Developer / GP,,40,institutional_relationships.csv,1,weak match / needs review
