run_date,run_id,run_timestamp,submarket_name,parent_market,article_count,deal_count,entitlement_signal_count,opportunity_count,distress_signal_count,timing_signal_count,dominant_residential_sector,dominant_deal_type,dominant_entitlement_signal,site_strategy_theme,submarket_opportunity_score,submarket_risk_score,execution_complexity_score,woomi_site_strategy_relevance,recommended_submarket_action,key_evidence
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,New York,New York,4,3,1,3,2,4,Apartment,Refinancing,Office-to-Residential Conversion,Office conversion corridor,100,64,30,Strategic watch submarket,Monitor entitlement precedent,"Blackstone Real Estate Debt Strategies Launches Homebuilder Lending Platform; Construction Financing - New York - Dwight Mortgage Trust Lends $55M on Rockland County, N.Y., Multifamily Development; Dwight Mortgage Trust Lends $55M on Rockland County, N.Y., Multifamily Development; Office-to-Residential Conversion - New York City / New York - Speaker Spotlight: Adam Greene of RXR; PNC Bank Refis West Village Apartment Building With $404M Loan"
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Miami,Florida,5,4,0,3,2,4,Apartment,Construction Financing,General Entitlement Signal,General submarket monitoring,100,62,20,Strategic watch submarket,Monitor refinancing / distress pipeline,Acquisition - Miami / Florida - Miami Apartments Trade for $109.9M; Alta Developers Lands $91.8M Construction Loan for Miami Apartments; Construction Financing - Miami / Florida - Alta Developers Lands $91.8M Construction Loan for Miami Apartments; Disposition / Exit - Miami / Florida - Grand Peaks Sells Miami-Area Apartments for $65.5M; General Project Signal - Miami / Florida - S. Florida Ritz-Carlton Developer Inks $401M Bridge Loan
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Santa Monica,Los Angeles,3,3,2,3,1,2,Affordable Housing,Construction Financing,Entitlement Approval,Mixed-use corridor,100,49,40,High relevance to Woomi site strategy,Monitor entitlement precedent,"Construction Financing - Los Angeles / California - Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in Wes...; Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood; Entitlement / Permitting - Santa Monica / California - Updated plan for apartments at 1238 Lincoln Blvd. in Santa Monica; JV / Partnership - Santa Monica / California - RAND reviews ULA impacts, Mayor's race focuses on housing, and more; RAND reviews ULA impacts, Mayor's race focuses on housing, and more"
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Atlanta,Southeast,6,5,1,4,1,3,Apartment,Disposition / Exit,Entitlement Approval,University-adjacent,100,40,30,Strategic watch submarket,Monitor entitlement precedent,Cambridge Properties Bringing New Life to Aging Charlotte Center; Charlotte Apartment Project Fetches $107M; Disposition / Exit - Atlanta / Georgia - Charlotte Apartment Project Fetches $107M; Disposition / Exit - Atlanta / Georgia - Eaton Vance Picks Charlotte Rental Community for $65.8M; Eaton Vance Picks Charlotte Rental Community for $65.8M
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Los Angeles,Los Angeles,8,5,5,1,0,0,Affordable Housing,Disposition / Exit,Zoning / Rezoning,Mixed-use corridor,100,15,55,High relevance to Woomi site strategy,Monitor entitlement precedent,"150 apartments debut at 549 S. Harvard Blvd. in Koreatown; Affordable housing slated for 1418 S. Mansfield Ave. in Mid-City; Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood; Disposition / Exit - Los Angeles / California - Covina Apartments Trade on In-Place Cash Flow, Rental Upside; Entitlement / Permitting - Los Angeles / California - Infill housing slated for 349 N. Oakhurst Ave. in Beverly Hills"
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Phoenix,Arizona,3,3,0,3,0,4,Apartment,Acquisition,General Entitlement Signal,General submarket monitoring,100,0,20,Strategic watch submarket,Review potential acquisition pipeline,"Acquisition - Phoenix / Arizona - Wood Partners Sells 278-Unit Alta Rise Multifamily Community in Gilbert, Arizona; BTR / Build-to-Rent - Phoenix / Arizona - Work Begins on 94-Unit Scottsdale Luxury BTR Community; Empire Group Starts Work on $170M Phoenix Apartment Tower; General Project Signal - Phoenix / Arizona - Empire Group Starts Work on $170M Phoenix Apartment Tower; Wood Partners Sells 278-Unit Alta Rise Multifamily Community in Gilbert, Arizona"
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Charlotte,Southeast,3,3,1,2,0,1,Apartment,Disposition / Exit,Entitlement Approval,General submarket monitoring,95,15,30,Strategic watch submarket,Monitor entitlement precedent,Cambridge Properties Bringing New Life to Aging Charlotte Center; Charlotte Apartment Project Fetches $107M; Disposition / Exit - Atlanta / Georgia - Charlotte Apartment Project Fetches $107M; Disposition / Exit - Atlanta / Georgia - Eaton Vance Picks Charlotte Rental Community for $65.8M; Eaton Vance Picks Charlotte Rental Community for $65.8M
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Hollywood,Los Angeles,2,2,1,1,1,1,Affordable Housing,Construction Financing,Entitlement Approval,Mixed-use corridor,78,49,40,High relevance to Woomi site strategy,Monitor entitlement precedent,Construction Financing - Los Angeles / California - Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in Wes...; Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood; Disposition / Exit - Los Angeles / California - Metro breaks ground on North Hollywood - Pasadena BRT line; Metro breaks ground on North Hollywood - Pasadena BRT line
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,West Hollywood,Los Angeles,1,1,1,1,1,1,Affordable Housing,Construction Financing,Entitlement Approval,Mixed-use corridor,70,49,40,High relevance to Woomi site strategy,Monitor entitlement precedent,Construction Financing - Los Angeles / California - Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in Wes...; Developer scores construction loan for mixed-use project at 8025 Santa Monica Blvd. in West Hollywood
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Koreatown,Los Angeles,1,1,1,1,0,1,Affordable Housing,Entitlement / Permitting,Entitlement Approval,Mixed-use corridor,69,15,40,High relevance to Woomi site strategy,Monitor entitlement precedent,150 apartments debut at 549 S. Harvard Blvd. in Koreatown; Entitlement / Permitting - Los Angeles / California - 150 apartments debut at 549 S. Harvard Blvd. in Koreatown
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Riverside,Inland Empire,1,1,0,1,0,1,Apartment,JV / Partnership,General Entitlement Signal,General submarket monitoring,68,0,30,High relevance to Woomi site strategy,Review potential acquisition pipeline,"JV / Partnership - Riverside / California - PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex; PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex"
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Santa Ana,Orange County,1,1,0,1,1,1,Apartment,Construction Financing,General Entitlement Signal,General submarket monitoring,65,57,30,High relevance to Woomi site strategy,Monitor refinancing / distress pipeline,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily; JLL Lines Up $144M Construction Loan for Santa Ana Multifamily
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,South LA,Los Angeles,1,1,0,1,0,0,Affordable Housing,Modular / Construction Innovation,General Entitlement Signal,General submarket monitoring,54,0,30,Strategic watch submarket,Monitor only,Modular / Construction Innovation - Los Angeles / California - Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South...; Modular housing manufacturing proposed for city-owned site at 10901 S. Clovis St. in South LA
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Scottsdale,Arizona,1,1,0,1,0,1,BTR / Single-Family Rental,BTR / Build-to-Rent,General Entitlement Signal,General submarket monitoring,46,0,20,Strategic watch submarket,Monitor only,BTR / Build-to-Rent - Phoenix / Arizona - Work Begins on 94-Unit Scottsdale Luxury BTR Community; Work Begins on 94-Unit Scottsdale Luxury BTR Community
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,California,National / Other,0,3,0,0,0,0,Senior Housing,General Project Signal,General Entitlement Signal,General submarket monitoring,24,0,20,Low relevance,Monitor only,"Disposition / Exit - California - Carlsbad Lifestyle Center Fetches $91M in Sale to 11North; General Project Signal - California - JLL Arranges $252M Financing for Huntington Beach Seniors Project; Recapitalization - California - PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties"
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Pasadena,Los Angeles,1,1,0,0,0,0,General Residential,Disposition / Exit,General Entitlement Signal,Transit-oriented development,20,0,30,Low relevance,Monitor only,Disposition / Exit - Los Angeles / California - Metro breaks ground on North Hollywood - Pasadena BRT line; Metro breaks ground on North Hollywood - Pasadena BRT line
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Burbank,Los Angeles,1,0,0,0,0,0,General Residential,General Project Signal,General Entitlement Signal,Transit-oriented development,12,0,30,Low relevance,Monitor only,Metro breaks ground on North Hollywood - Pasadena BRT line
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Inland Empire,Inland Empire,1,0,0,0,0,0,Apartment,General Project Signal,General Entitlement Signal,General submarket monitoring,12,0,30,Low relevance,Monitor only,"PCCP, Alliance Residential Snap Up Garden-Style Riverside Complex"
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Orange County,Orange County,3,0,0,0,0,0,Apartment,General Project Signal,General Entitlement Signal,General submarket monitoring,12,0,30,Low relevance,Monitor only,"JLL Arranges $252M Financing for Huntington Beach Seniors Project; JLL Lines Up $144M Construction Loan for Santa Ana Multifamily; PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties"
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Denver,National / Other,0,1,0,0,0,0,General Residential,Refinancing,General Entitlement Signal,Hospital-adjacent,8,0,20,Low relevance,Monitor only,Refinancing - Denver / Colorado - Stout Street Hospitality Receives Refinancing for Magnolia Hotel Denver
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Manhattan,New York,1,1,0,0,0,0,Apartment,Refinancing,General Entitlement Signal,General submarket monitoring,8,0,20,Low relevance,Monitor only,PNC Bank Refis West Village Apartment Building With $404M Loan; Refinancing - New York City / New York - PNC Bank Refis West Village Apartment Building With $404M Loan
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,National Landing,National / Other,0,1,0,0,0,0,Office-to-Residential Conversion,Office-to-Residential Conversion,General Entitlement Signal,Office conversion corridor,8,0,20,Low relevance,Watch office-to-residential feasibility,Office-to-Residential Conversion - Northern Virginia / Virginia - JBG SMITH Commences Office-to-Residential Conversion in National Landing
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Port Richey,National / Other,0,1,0,0,0,0,Apartment,Acquisition,General Entitlement Signal,General submarket monitoring,8,0,20,Low relevance,Monitor only,Acquisition - Port Richey / Florida - Aventon to Build 270-Unit Port Richey Rental Community
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,San Francisco,National / Other,0,1,0,0,0,0,Multifamily,Entitlement / Permitting,General Entitlement Signal,General submarket monitoring,8,0,20,Low relevance,Monitor only,"Entitlement / Permitting - San Francisco / California - First Projects Advance Under San Francisco's New Zoning Plan, But Costs Hold Pipeline To A..."
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Sarasota,National / Other,0,1,0,0,0,0,Multifamily,Refinancing,General Entitlement Signal,General submarket monitoring,8,0,20,Low relevance,Track local GP / sponsor activity,Refinancing - Sarasota / Florida - Benefit Street Partners Provides $82M Refi for Sarasota County Multifamily
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,"Washington, D.C.",National / Other,0,1,0,0,0,0,Apartment,JV / Partnership,General Entitlement Signal,General submarket monitoring,8,0,20,Low relevance,Monitor only,JV / Partnership - Washington DC - IPA Arranges $27M Acquisition Loan for Apartment Community in D.C’s NoMa District
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Wethersfield,National / Other,0,1,0,0,0,0,Apartment,Acquisition,General Entitlement Signal,General submarket monitoring,8,0,20,Low relevance,Monitor only,"Acquisition - Wethersfield / Connecticut - Avison Young Negotiates $19.1M Sale of Apartment Building in Wethersfield, Connecticut"
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Dallas,Texas,1,0,0,0,0,0,Multifamily,General Project Signal,General Entitlement Signal,General submarket monitoring,0,0,20,Low relevance,Monitor only,North Texas Cities Slow New Multifamily Housing Law Through 'Unnecessary Mandates'
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Fort Worth,Texas,1,0,0,0,0,0,Multifamily,General Project Signal,General Entitlement Signal,General submarket monitoring,0,0,20,Low relevance,Monitor only,North Texas Cities Slow New Multifamily Housing Law Through 'Unnecessary Mandates'
2026-06-01,20260601-064806-993581e0,2026-06-01 06:48:06,Seattle,Seattle,1,0,0,0,0,0,Affordable Housing,General Project Signal,General Entitlement Signal,General submarket monitoring,0,0,20,Low relevance,Monitor only,"PEF Advisors, Freestone Capital Form JV to Recapitalize Affordable Properties"
