run_date,run_id,canonical_project_id,canonical_project_name,project_identity_confidence,asset_signal_id,canonical_asset_or_project_name,raw_project_or_property_name,address_or_location_clue,intersection_or_corridor,neighborhood_or_submarket,city,state_or_region,residential_sector,asset_type,gp_or_developer,owner_or_sponsor,lender_or_capital_partner,entitlement_status,permit_status,construction_status,delivery_or_timing_reference,unit_count,dollar_amount,site_size_or_area,deal_or_project_type,asset_strategy_signal,site_control_signal,execution_stage,primary_development_category,primary_category_reason,asset_opportunity_score,asset_risk_score,woomi_asset_relevance,recommended_asset_follow_up,evidence_article_title,source,url,confidence_level
2026-05-26,20260526-230211-c37354de,PRJ-20260526-0032,Entitlement / Permitting - California - Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown,80,AST-20260526-034,Entitlement / Permitting - California - Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown,Entitlement / Permitting - California - Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown,611 S. Hobart Blvd,General submarket monitoring,California,Los Angeles,California,Affordable Housing,Affordable Housing,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,301 apartments,,,Entitlement / Permitting,Affordable / Density Bonus Strategy,Project under entitlement,Unknown,approval_watch,matched permit,95,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Affordable housing unwrapped at 611 S. Hobart Blvd. in Koreatown,Urbanize LA,https://la.urbanize.city/post/affordable-housing-unwrapped-611-s-hobart-blvd-koreatown,High
2026-05-26,20260526-230211-c37354de,PRJ-20260526-0018,Entitlement / Permitting - Los Angeles - 17 apartments planned at 2217 S. Fox Hills Dr. in Century City,80,AST-20260526-033,Entitlement / Permitting - Los Angeles - 17 apartments planned at 2217 S. Fox Hills Dr. in Century City,Entitlement / Permitting - Los Angeles - 17 apartments planned at 2217 S. Fox Hills Dr. in Century City,2217 S. Fox Hills Dr,General submarket monitoring,Los Angeles,Los Angeles,California,Affordable Housing,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,17 apartments,,,Entitlement / Permitting,Entitlement Play,Project under entitlement,Unknown,approval_watch,matched permit,95,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",17 apartments planned at 2217 S. Fox Hills Dr. in Century City,Urbanize LA,https://la.urbanize.city/post/17-apartments-planned-2217-s-fox-hills-dr-century-city,High
2026-05-26,20260526-230211-c37354de,PRJ-20260526-0095,"General Project Signal - National - AvalonBay, Equity Residential Strike Largest REIT Merger In U.S. History",100,AST-20260526-051,"General Project Signal - National - AvalonBay, Equity Residential Strike Largest REIT Merger In U.S. History","General Project Signal - National - AvalonBay, Equity Residential Strike Largest REIT Merger In U.S. History",National,General submarket monitoring,National,Los Angeles,Unknown,Apartment,Apartment,AvalonBay,AvalonBay,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$69B; $69b,,General Project Signal,General Asset Signal,Unknown site control,Unknown,excluded,no clear development milestone,93,24,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,"AvalonBay, Equity Residential Strike Largest REIT Merger In U.S. History",Bisnow,https://www.bisnow.com/national/news/capital-markets/avalonbay-equity-residential-all-stock-merger-creating-180000-apartment-giant-134679,Medium
2026-05-26,20260526-230211-c37354de,PRJ-20260526-0042,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,100,AST-20260526-028,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Disposition / Exit - Sun Belt - Charlotte Apartment Project Fetches $107M,Atlanta,General submarket monitoring,Atlanta,Sun Belt,Sun Belt,Apartment,Apartment,Wood Partners,Wood Partners,northmarq,Unknown,Unknown,Unknown,No explicit timing reference,,$107M; $107M; $107 million,,Disposition / Exit,General Asset Signal,Existing asset sale,Unknown,excluded,excluded operating-asset disposition,87,26,Relevant to underwriting benchmark,Monitor asset-level signal for repeated confirmation,Charlotte Apartment Project Fetches $107M,Connect CRE Charlotte,https://www.connectcre.com/stories/charlotte-apartment-project-fetches-107m/,Medium
2026-05-26,20260526-230211-c37354de,PRJ-20260526-0058,Acquisition - California - Hudson Valley Property Group Expands California Presence with Elk Grove Acquisition,80,AST-20260526-027,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,Construction Financing - California - JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Unknown,Unknown,JLL,Unknown,Unknown,Unknown,No explicit timing reference,,$144M; $144M; $144,,Construction Financing,Refinancing / Recapitalization,Unknown site control,Unknown,excluded,excluded financing-only article: construction loan,86,67,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",JLL Lines Up $144M Construction Loan for Santa Ana Multifamily,Connect CRE Orange County,https://www.connectcre.com/stories/jll-lines-up-144m-construction-loan-for-santa-ana-multifamily/,Low
2026-05-26,20260526-230211-c37354de,PRJ-20260526-0058,Acquisition - California - Hudson Valley Property Group Expands California Presence with Elk Grove Acquisition,80,AST-20260526-035,Refinancing - California - $46M Bridge Loan Refinances Newly Built Moreno Valley Apartments,Refinancing - California - $46M Bridge Loan Refinances Newly Built Moreno Valley Apartments,California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$46M; $46M; $46,,Refinancing,Refinancing / Recapitalization,Existing asset refinance,Unknown,excluded,excluded financing-only article: refinancing,86,67,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",$46M Bridge Loan Refinances Newly Built Moreno Valley Apartments,Connect CRE,https://www.connectcre.com/stories/46m-bridge-loan-refinances-newly-built-moreno-valley-apartments/,Low
2026-05-26,20260526-230211-c37354de,PRJ-20260526-0006,Office-to-Residential Conversion - Los Angeles - Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.,80,AST-20260526-053,Office-to-Residential Conversion - Los Angeles - Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.,Office-to-Residential Conversion - Los Angeles - Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.,10900 Wilshire Blvd,Adaptive reuse corridor; Office conversion corridor,Los Angeles,Los Angeles,California,Office-to-Residential Conversion,Office-to-Residential,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,,,Office-to-Residential Conversion,Office-to-Residential Conversion,Project under entitlement,Unknown,approval_watch,matched entitlement,86,50,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Adaptive reuse planned for Westwood office tower at 10900 Wilshire Blvd.,Urbanize LA,https://la.urbanize.city/post/adaptive-reuse-planned-westwood-office-tower-10900-wilshire-blvd,Medium
2026-05-26,20260526-230211-c37354de,PRJ-20260526-0093,Construction Financing - Sun Belt - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,80,AST-20260526-042,Construction Financing - Sun Belt - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Construction Financing - Sun Belt - Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Miami,General submarket monitoring,Miami,Los Angeles,Sun Belt,Apartment,Apartment,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$91.8M; $91.8M; $91.8 million,,Construction Financing,Refinancing / Recapitalization,Land / parcel referenced,Site Search / Early Signal,excluded,excluded financing-only article: construction loan,85,47,Relevant to acquisition / JV sourcing,"Review acquisition, financing, ownership, and comparable transaction details",Alta Developers Lands $91.8M Construction Loan for Miami Apartments,Connect CRE South Florida,https://www.connectcre.com/stories/alta-developers-lands-91-8m-construction-loan-for-miami-apartments/,Low
2026-05-26,20260526-230211-c37354de,PRJ-20260526-0058,Acquisition - California - Hudson Valley Property Group Expands California Presence with Elk Grove Acquisition,80,AST-20260526-032,Acquisition - California - Hudson Valley Property Group Expands California Presence with Elk Grove Acquisition,Acquisition - California - Hudson Valley Property Group Expands California Presence with Elk Grove Acquisition,California,General submarket monitoring,California,Los Angeles,California,Apartment,BTR / Single-Family Rental,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No explicit timing reference,,$83.6 million; $83.6 million,,Acquisition,General Asset Signal,Existing asset sale,Unknown,excluded,no clear development milestone,85,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Hudson Valley Property Group Expands California Presence with Elk Grove Acquisition,Connect CRE California,https://www.connectcre.com/stories/hudson-valley-property-group-expands-california-presence-with-elk-grove-acquisition/,Low
2026-05-26,20260526-230211-c37354de,PRJ-20260526-0058,Acquisition - California - Hudson Valley Property Group Expands California Presence with Elk Grove Acquisition,80,AST-20260526-030,Disposition / Exit - California - Northmarq: Multifamily Sale Serves as Benchmark for Fresno Market,Disposition / Exit - California - Northmarq: Multifamily Sale Serves as Benchmark for Fresno Market,California,General submarket monitoring,California,Los Angeles,California,Apartment,Apartment,Unknown,Unknown,northmarq,Unknown,Unknown,Unknown,No explicit timing reference,,$10.95; $10.95,,Disposition / Exit,General Asset Signal,Existing asset sale,Unknown,excluded,excluded operating-asset disposition,85,40,High relevance to Woomi site strategy,"Review site details, sponsor, entitlement path, and local precedent",Northmarq: Multifamily Sale Serves as Benchmark for Fresno Market,Connect CRE California,https://www.connectcre.com/stories/northmarq-multifamily-sale-serves-as-benchmark-for-fresno-market/,Low
